vocabulary,originalEntry,explanation,example,pinYin,location,place,source
gen(gen),gen,[形容词]强：迭个人蛮~个（[形容詞]強：迭個人蠻~個）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
gen4(gen4),[原写法即现写法],固执，顽强（固執，頑強）,[暂无],gen²²(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
gen头把戏(gen頭把戲),[原写法即现写法],形容人固执倔强（形容人固執倔強）,[暂无],gen² deu⁵⁵ po³³ shi³¹(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
geq8(geq8),geq8,[动作、变化]抱（[動作、變化]抱）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
geq8(geq8),geq8,[代词]这（[代詞]這）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
geq辰光(geq辰光),geq辰光,[代词]这时候（[代詞]這時候）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
geq搭(geq搭),geq搭,[代词]这儿（[代詞]這兒）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
geq搭过(geq搭過),geq搭過,[代词]这儿（[代詞]這兒）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
geq搭户荡(geq搭戶蕩),geq搭戶蕩,[代词]这儿（[代詞]這兒）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
geq个辰光(geq個辰光),geq個辰光,[代词]这时候（[代詞]這時候）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
geq个辰光(geq個辰光),geq個辰光,[代词]这时候（[代詞]這時候）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
geq浪(geq浪),geq浪,[代词]这儿（[代詞]這兒）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
geq面(geq面),geq面,[代词]这边（[代詞]這邊）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
geq能(geq能),geq能,[代词]这样（[代詞]這樣）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
geq能介(geq能介),geq能介,[代词]这样（[代詞]這樣）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
geq滩(geq灘),geq灘,[代词]这儿（[代詞]這兒）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
geq歇(geq歇),geq歇,[代词]这时候（[代詞]這時候）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
geq样(geq樣),geq樣（事物）,[代词]这一种（东西） （[代詞]這一種（東西））,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
geu6(geu6),geu6,[动作、变化]脚屈不能伸（[動作、變化]腳屈不能伸）,[暂无],拼音暂无(IPA暂无),华娄小片,金山,金山县志
ghan2(ghan2),ghan2,三足木架，上可铺芦苇帘子用以晒棉花、衣被（三足木架，上可鋪蘆葦簾子用以曬棉花、衣被）,[暂无],拼音暂无(IPA暂无),,上海县,上海县志
gnian gnian头(gnian gnian頭),[原写法即现写法],童语（童語）,[暂无],gniae³⁵ gniae⁵⁵ deu³¹(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
goe(goe),goe,[动作]守著：~牢gø¹³ （[動作]守著：~牢 gø¹³）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
gon2(gon2),[原写法即现写法],童语，象雷声（童語，象雷聲）,[暂无],gon³¹(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
goq8lon2lon2(goq8lon2lon2),[原写法即现写法],童语，象雷声（童語，象雷聲）,[暂无],goq² lon⁵⁵ lon⁵³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
gu(gu),gu,[动作]咕哝gu¹³ （[動作]咕噥 gu¹³）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
gu2gu2(gu2gu2),[原写法即现写法],睡觉。童语。（睡覺。童語。）,[暂无],gu¹³ gu⁵³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
guaeq出(guaeq出),[原写法即现写法],同【呱出】 （同【呱出】）,[暂无],guaeq² tsheq²(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
guaq出(guaq出),[原写法即现写法],同【呱出】 （同【呱出】）,[暂无],guaq² tsheq²(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
hau1(hau1),hau1,[饮食]油类变味：今朝买格油象煞~脱则。（[飲食]油類變味：今朝買格油象煞~脫則。）,[已于释义中声明],拼音暂无(IPA暂无),嘉定片,嘉定,嘉定方言研究
heu1(heu1),[原写法即现写法],吸，吮吸（吸，吮吸）,[暂无],heu⁵³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
heu5(heu5),[原写法即现写法],引诱别人说出秘密或做坏事（引誘別人說出秘密或做壞事）,[暂无],heu³⁵³(IPA暂无),《松江吴语词典》整理稿,,松府吴语词典整理稿
